readable,assignable,writeable,Feature,Quiz,Discussion,External Tool
id,,,,,,
name,Y,,,,,
description,Y,,,,,
created_at,,,,,,
updated_at,,,,,,
due_at,Y,,,,,
lock_at,Y,,,,,
unlock_at,Y,,,,,
has_overrides,,,,,,
all_dates,,,,,,
course_id,,,,,,
html_url,,,,,,
assignment_group_id,Y,,,,,
allowed_extensions,Y,,,,,
turnitin_enabled,Y,,Y,,,
turnitin_settings,Y,,Y,,,
grade_group_students_individually,Y,,,,,
external_tool_tag_attributes,Y,,,,,Y
peer_reviews,Y,,,,,
automatic_peer_reviews,Y,,,,,
peer_review_count,,,,,,
peer_reviews_assign_at,,,,,,
group_category_id,Y,,,,,
needs_grading_count,,,,,,
needs_grading_count_by_section,,,,,,
position,Y,,,,,
post_to_sis,,,Y,,,
integration_id,Y,,,,,
integration_data,Y,,,,,
muted,Y,,,,,
points_possible,Y,,,,,
submission_types,Y,,,,,
grading_type,Y,,,,,
grading_standard_id,Y,,,,,
published,Y,,,,,
unpublishable,,,,,,
only_visible_to_overrides,Y,,,,,
locked_for_user,,,,,,
lock_info,,,,,,
lock_explanation,,,,,,
quiz_id,,,,Y,,
anonymous_submissions,,,,Y,,
discussion_topic,,,,,,
freeze_on_copy,,,Y,,,
frozen,,,Y,,,
frozen_attributes,,,Y,,,
submission,,has to be specifically requested,,,,
use_rubric_for_grading,,,,,,
rubric_settings,,,,,,
rubric,,,,,,
assignment_visibility,,,,,,
overrides,,,,,,
,,notify_of_update,,,,
,,assignment_overrides,,,,
